name,lat,lng,place_id,types,photo_reference,rating,user_ratings_total,price_level,vicinity
Tonic Alchemy Lounge,40.0176187,-105.2828873,ChIJyZ2j2ybsa4cRXKyiTSLCaKE,bar,AeeoHcKt8FlQT0XlK4zAMeannAPGnPSN8U4Ec200N_WBdAih4Xzkozf1r3TL_i17J_GDm61pyxeuGBvjCC7tFh2U7af5R9hmgNcgXX5IeiKpIQDy0NAkYSe8XLv4n_75bqyXGlEYTQy_WVbNwDDUEwKc25JNjrL7-v6R2o60je3aHbwEm1vQsRtM9q2yTa0jxNw8PCW5xDwjI9jMNwhxg4KDbwz47MdNnQGGzohmbRp84nzibCakOkOZwOkpBXHvxJJu2k847KJOxZENom0eOw_kALXxI_bcFuulJ0bMNJicXVcnBcYqFi8,4.7,251,0,"2011 10th St, Boulder"
Pedro's Tacos & Tequila Bar Boulder,40.0180353,-105.2807166,ChIJ_xAbQrHta4cR17_9P8R2pM4,restaurant,AeeoHcLYF0KUD3NR5-eR276Q4OsI8Mj3CfntKzDGSnrT-p1IHp1Z9hA3BUsWljWuHPRHgyuC-WCRvN23D03fGDNBgPTW93jd0MVc2ZFqXRmnD9zqXqudvjlt4n2MbFWRtON9jP503_dlhka4s0EGtRpAZ48ZOYS4ncOfGfY8UPO6sjeteBrbkRI13DdjJwekDaFxl5YftY7G1cjue7XWShdLAwFkk35TkM118qYf1A1DrzA8Be1uG5-Is9AQlHp65lFBOWguIXLbIwFMNoCwjpiFqbij3TIsuTccCCJs5HilzLCz_YYu8Pw,4.7,157,2,"1125 Pearl St, Boulder"
Beyond the Mountain Brewing Co.,40.0645151,-105.2147596,ChIJhbgkHtTxa4cRRZlZf5u60b8,bar,AeeoHcJoKYlwBnJFgxNwSr2nvaTxYQ5TeqjSagQ0R9F0WCc2iArPiLK7vr5amtDnvKCxWZrOtwhRlBy3ewL3I05Dmi2HfBUWcBAzV-IXL0PrhsCc-DRowmce_9oUXek_bux4ItPqnsmAinsbZhwqi-h4Q5x1xNoeK1-5GdyXHVXdjHJaaMfEJ3frFuDhfX5TPyfbikoUv-gAYKecms8tC2vFv5whkJGsVhehptnY0lpZX8nseG44KQlHmlIhaQkHFFL4DwJIU63jW4jJ0PHfkp_3fRW5yFcNnoiOigMmbVm4lzM4gwqMd_zkQ6QzTwN9EbbOTSrAmOn9d-lWzJKwLnNealBFZBLEvsUMMyq_Xt5jSYsbfYtqsBh7ZDvGpKUitul2nZRcaWUQxEgETNfaSrsmn3SO0zmFvaH5VzJzLH2-IJnhLZ0Zs9AxMxp9NI-G-67KHurLYLUgW3CTrHPB2O870JwrtiHFX3nwXfgb8Rg8yLIUnbpLExHhVRwcCOQdQaYC-HPBcEaVm6BKjFrY5U4RHMO5IaWBA5Ha4Y-0Kx7JtWByGuM3PUnwC4Y7pwcvM2BD2HphKuKn,4.7,157,0,"6035 Longbow Dr unit 109, Boulder"
Cristos Coffee Boulder,40.0185643,-105.2800076,ChIJyyVLtp3ta4cReHyvdbayztw,cafe,AeeoHcJaAc52e5LmtUQJK9OAj_ib2o6ER2sIh6E7qFUzbhEMhdElgSyPlQjuq56K5qohVAQigfH2SlnoS0SoEx57sXXt3YTjDEWNY42o8E-XOBrEgVR4GfoGW_hPa2nKv2S40aul8f4frXp3ddrJAKgKKmX7gNpJeFlhKwT4RwIUaNKjapCsCzCj8X9Ho4zChpi2H6Ti38Z4rQwmnap4U2OkcEN-gDPbG9X7oe7BCnW-zsU4F4DYBuSO0KUYzlZqoiLmnVGs8blFDU0Lz7Py9cf5JAoBOUBeKRbcbCwxqbSLX6_zBvtKixdXSUHaMnhIpVi32LgteTIeW8NzxTbejxoaufxBDLeQDlgu6F5gu4W-Q4bRArcqbh8aPzhSYqJ1CqVOIpOwqpzkjTN965a2UrXOCtIhPHTCYO068SB7Mk_oRfXfCTdKvm6xTha_vUCJwgaYDime3YUSACMI-0bebQVxRQVlcYfg9EYSUEW6nd3Y8WqsHXUzMTm_gCitrAoaBcR_QUL5Rzj_PlowMRjk9KiqswKwDgYJl-yny44PiJv0ialjLkwpuxje-pcoyKm49qzexn5ul-eZ38ChtQ,4.7,59,0,"2052 Broadway, Boulder"
Rayback Collective,40.0296156,-105.2594556,ChIJtdu8_5Tva4cRmAogyNfTzFw,bar,AeeoHcLMbb3ZLYKCYpFXkHF5bCxAxxL3YeSzoYRHFODR2la1rb--b9S9vxJ27z0INqIotcAglwsahOxTv43dHh4NJZC2qyAD5w1lRKjTuxQQKy1Z7eGMTPgvpTg7qhrF249dODwVxiSgqu12csfidRB4yeJY0qtYU62HrLv81KzgWJlC0dq2Bv6mMr9dPAR7o6NK49C0lG7vLRKx_zihkQ2s87FOfgeCEow2Jd0IaZCbgwW24XHa-Y6lEZbHqOlUMeID4oXw0VItQO6ovGBWSeTPLDGmOhMSTodjJR4kV5E6qBHg_5Hc2Tc,4.6,2535,2,"2775 Valmont Rd, Boulder"
Mountain Sun Pub & Brewery,40.0190124,-105.2752075,ChIJIVg0_ijsa4cRGkwGu-Jw-fo,bar,AeeoHcJ_VOEdKdEOVG2ynhux0oHc0gLNCoiD80svhZcLFmyOCIIt7BMJIFgQSFNkjJsXe3fOzHvfEgL-iJJlMKJzSQZsUI5duxbxSz-j40c5Q0wTSZEVojoX8R7cY5UtMHhHU8Cj_X8AGnVnDhTiePnFTizg5pcpkl85YzDne7HcGreQNqGMshpxKSolF-USeI0e0_hYqv1e-zQeEO8K0_Txi5RK2dmJBqiqO59Kn9-zUhLwCi5g11MCBToohcnz41039obAGzwxIkWQ5tYOcQzSq02pN5-InuiSWmTDCLLsg-MEue9MIeCSdMA1StnxmpBxQB5JiEN13I0rrAfzWRqk7v_945eTJSeR0t5E8FQGVPGX4BGX4LEqVlun72wEkGAgW3H6RvGsdojpd1KlZs7QxlqOlfeBDFuVlFR5XtWU0ac6wUcSzHyYCPXZUjlDsLD_2qSQyUJ-dIKcSLM6Rl4pVe21zIejOSsZ-_uv5UvoTFbkRazEtRyGZ9suCD31jn-zzPXIHoC_z1HCmHYChh4-psoo8zGMW0QNs8SAnlmnb8SW1iGpRoYt5HS6jX84KlWE5_KzFsMr8Hz5cA,4.6,2344,2,"1535 Pearl St, Boulder"
Bohemian Biergarten,40.0187579,-105.2790487,ChIJ4SO6Mibsa4cRBZeP0LJs6xs,bar,AeeoHcKBWyoQJLPD27BiE9YW3nM1UGF4Pie6QOPR490YCxpoWa5rXYko7wPUfLWp0m7M74xoJYoVndCN2MlMVCgrAx-pilr_gUBdT33KK2NuKONUSGPVvzS1ZwzjRZDhBiiX5Whh7z9d1ZpZ26IDho7K5v8DXBfPQk1VYlhRlEKBMkvI98sxYyU2VQ3x8aQQZRKRODzM9qpJ6JhqYEHzt_P8ANWWoK1Sdj9vFct6qKQOmdo37L6l35IJE2GVh3iZ7Wer_-rUwn1razz7YjViguLWLOKMgGGpQHNjW7SfoY2sTtN6QTycPEk,4.6,2137,2,"2017 13th St, Boulder"
The Laughing Goat,40.0194962,-105.2731278,ChIJN_-jnSnsa4cRDDn5vjGB7JU,cafe,AeeoHcLAaB7_2Ql2Fr_hxt-Sl55ByEF_Yv5KRFO6p2f6GQ4dNEuFnZQiDPaFZ-qEbJTe-tLb1yxwR41m96w6T5CbdOJDR5MGtCKhs9VeEvVzeKzhjvhnzu7_oAMxgalqT1bX7Dnf1eRsT9YBdmaAJX8eX_1zJJc_rIf79guDZ5eVwU8ueCxVaRUk6EdzhQW6-fa64v1v9PW0MtgBG4dKYTCE97j-M4kojw1dev2aovdrZIpdAb8I0aBbSeiQ_9kXXgmQCN4iGO4YXhuMgRUtmzkjesNbHCyf16RLxZOdbzWZn4lZlCKxa4jFummVUN7tPfM5i0UmivzFWR3KZ7q3ueIfUygsAGy7TYtTVoRWw1-hGcfJa_KUEk6khbpvFrBikAje-innV74DaUrFk06aNdNWRrt7ozE5dmwDtYnyo8tHmMCManCvozWbobt6q60kLayFFQuwviD7GAWrwB5bU0vCErNps9IVHdCcz0T5wvtt4gQh0Pu5dn2TLWd_vd2ASxks88pD9KnQ0MjZpVexCXjoSY_ZfnNfe1lG-9YUFw2nq2EMgOonlNQc1B3qIRuMpVuCXPFAl19rCqd3EA,4.6,1491,1,"1709 Pearl St, Boulder"
OZO Coffee | West Pearl,40.01756839999999,-105.2821712,ChIJhSE25ibsa4cREVN1cLEOh14,cafe,AeeoHcLLcDp3L5Iu2H2A5eSs3szoes_H4tDc4gUFMEFfFyFGh1lByv20uipGk7QD_9f5fRGB58M6p2TrMHVriFQFl02Yhez0a-DfUHYZ0T0W8tRaXQ5CtPAxYs-Gw2cKTjMOk49Me5Dof276N2ozN-P1wEDcKuGpFrgTSakIbpkf5MMwFe6UL-3GvNgOFvco7xwNuxs2GI1_BonUhtuEzCvQeTYynx2DueyfKVOvHW-PQ4SNAArzPaUIjvGot6ywrUmJncx2EOXA-NKGT5f3FnPQZPSwSphtsR-ijxcNnK2I9oeq3Te-xfkSLR9z536dgT9ic2WcrlSuuOuDUVbD5ksgEvVy1nB6mhaOPhFX2xxz9i_-u6Dd5hmQDTxpsm-93jUrbhT14nVOnivy8vJfRlJtqa2fcm2fwRqNX3ChpCAJbodYZLqOjiZkdbqBbXuxQp9J-UNVJAWBMYXWLiYnCV4x93-2D3JVV6LwMrBdI8w2MTOu3F8Au6FV_5ljyjKYtAWyYFbvuqpe8vxhheXIX1Cb4u_H_6E_Yzu3b-4c5r_vFRcMzbB_ilc9egDPpfm7VRgm-3I44ryK,4.6,891,1,"1015 Pearl St, Boulder"
License No. 1,40.0194249,-105.2793016,ChIJwa5bxyfsa4cR6C5L7eKShXw,bar,AeeoHcKIiBrqb1Sx75w-xF3Bs-Ai-CXKwuys7PaCDfSb_We2fP5OEc0zxCQHXRQtHSf1emvdb5NLcPudK_SfAgM0BEjIGwL0TNsNhUtNFt59UvZgv8JXyDft7YUQM0XHGxYFOnmOaXIAweZeEwc4Gh-5aWqadc9vpVKPuAs-ZmO-rXRBu_-8Xc90RsIDT4osFyxGPppS3RGBel-NQBIeeEav5Ecdd1kUcXZNgcHC6gPgldQIvbPMaCbnHt0IHJJRMKOh4qUGT_QhOxtr3MWfCirXFFh4f2eWaG3sh9z25k5lfT0i51uhpMJj0ldIY5ExuTOEmI9bpCf7oQOB54Ik39IuycV6fd9GJThS4L_GWocuE_WH-kvBOOMCfEMJS7xhqCYS87sWp3cTrdR2mhxYyxowdRBw5LNPLOHlzfW8jOzuP3qUX6yF_zOzK295HPhWZ1j-D274V0jeLLL0kKqD7ePArUFQLG6xji_DrQLNlMmS6HnulvX2fKbHYgopbu0PyxKeEi0boNwusYU6sLrFFWE8dK363M1fFXUHVBo8eKSluNcL8o2i6nEcj_pqf9RtwXqL7iVyrgpV,4.6,547,2,"2115 13th St, Boulder"
